nummer	path	filter	prompt	titel	autor	projektuebersicht
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/054/02_Charaktere_Guth_Antonia_054_01.jpg	Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, hairy,  weird figure laying  Stop Motion  Antonia Guth  guth						
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Wojciechowski_Daniel/00_Objekte_Wojciechowski_Monolith-2_054.jpg	Objekte	colorpop style, Create an image featuring the Monolith from the movie '2001: A Space Odyssey' placed within a moonlit desert-like environment, illuminated by artificial lights reminiscent of the film. The desert landscape should seamlessly transition into a vast Stone Age era terrain. The image should be captured in the style of an analogue camera, akin to a Hasselblad, to evoke the cinematic charm of the 1968 film. The juxtaposition of the futuristic Monolith and the ancient Stone Age world should be central to the composition, creating an otherworldly, ethereal ambiance under the moon's gentle glow.	Monolith-2	Daniel Wojciechowski	wojciechowski
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Wojciechowski_Daniel/00_Objekte_Wojciechowski_Monolith-3_054.jpg	Objekte	analog style, "Generate an image featuring the Monolith from '2001: A Space Odyssey' placed in a vast desert landscape reminiscent of the Stone Age. The scene should evoke a sense of mystery and discovery. The Monolith should consist of a tall mysterious object that as no specific structure. Use a vintage colour scheme to emulate the classic look of an analogue camera, specifically referencing the aesthetics of a Hasselblad. Pay attention to contrast and shadows to create a dramatic and visually striking composition. Ensure that the Monolith stands as an enigmatic and dominant presence in the scene, with the surrounding desert landscape unfolding in the backdrop. Consider the play of light and shadows to enhance the cinematic quality of the image, and aim for a timeless, otherworldly atmosphere. The final image should reflect the juxtaposition of advanced extraterrestrial technology within a primitive Earth setting, capturing the essence of the iconic Monolith in a unique and visually compelling way."	Monolith-3	Daniel Wojciechowski	wojciechowski
15	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Kunert_Frieda/01_Szenen_Kunert_Frieda_054.JPG	Szenen	A industrial hall with cables. a web of cables to red glowing orbs in different sizes recording their surroundings, as if they were all-seeing eyes. People are walking around scared and ducked. Dangerous. Industrial. Red tint. Thechnological. Realism	Hallway under surrveillance	Frieda Kunert	kunert						
16	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/054/17_Objekte_Nguyen_054.png	Objekte	warm pink hue, thin tall black monolith, space odyssey  Stop-Motion pink Textilien  Tuan Nguyen  nguyen						
17	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Langhanki_Jan/01_Szenen_Langhanki_Jan_054.jpg	Szenen	a sci-fi astronaut holding a post ww2 antique camera, film noir style, steampunk, realism, pulp, black and white image, photorealistic filmscene  Astronaut 3  Jan Langhanki  langhanki						
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_054.jpg	Adaptionen	The outdoor environments in this science fiction world would echo Kubrick's affinity for vast, barren, and futuristic landscapes  Umgebung 3  Katharina Saathoff  saathoff						
19	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_029_054.jpg	Adaptionen	On a deserted, hostile planet, an astronaut encounters a mysterious, slightly transparent projection emanating from a small device. They cower in awe as they cautiously approach, wondering if it holds the key to understanding the planets mysteries. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.  Erkundungstour 4/4  Swaantje Meyer  meyer						
20	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_061_054.jpg	Adaptionen	an upside down pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.  Monolith 3/3	Swaantje Meyer	meyer						
21	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_062_054.jpg	Adaptionen	a free standing pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.  Abhebender Monolith 1/5  Swaantje Meyer  meyer						
22	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_063_054.jpg	Adaptionen	an inverted, free standing pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.	Abhebender Monolith 2/5	Swaantje Meyer	meyer						
23	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_064_054.jpg	Adaptionen	a free standing pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.	Abhebender Monolith 3/5  Swaantje Meyer	meyer						
24	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_065_054.jpg	Adaptionen	an inverted, free standing pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.	Abhebender Monolith 4/5  Swaantje Meyer	meyer						
25	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_066_054.jpg	Adaptionen	an inverted, free standing pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.	Abhebender Monolith 5/5  Swaantje Meyer	meyer						
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Haarmann_R_Faesel_L/00_Objekt_Haarmann_R_Faesel_L_054.jpg	Objekt	monolith from the movie „2001: space odyssey“, in a scene from shaun the sheep, aardman animation, claymation	Monolith	Rose Haarmann, Lara Faesel	haarmann						
14	\Datenbank\Videos\03_Adaption_Kroeger_Alexandra_054.mp4	Adaption	create an abstract yet spatial representation using only the colors dark blue, violet and gold	Lux aeterna	Alexandra Kroeger
28	https://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Thuernau_Laura/01_Szenen_Thuernau_Laura_Monolith_054.jpg	Szenen	As the tall black monolith crumbles and falls, its shattered pieces take flight, swirling and dancing in the air like a chaotic symphony	Monolith	Laura Thürnau	thuernau
29	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/052/03_Adaptionen_Schmidt_Astronauten_052.jpg	Adaption	A group of six steampunk astronauts stand on the surface of the moon. Their suits are made of copper, brass, leather, and glass, with gears, pipes, and other steampunk elements. They carry steam-powered oxygen tanks on their backs. The astronauts are illuminated by a dim light, and the background is a black void of space.	Astronauten der Mondmission	Lena Schmidt	schmidt
